"","X..","X.longtitude.","X.latitude."
"1","""石狮市人民法院""",118.657176034511,24.7278570229702
"2","""湖南省茶陵县人民法院""",113.534878928403,26.7796278380204
"3","""湖南省郴州市北湖区人民法院""",113.017410129382,25.7905372612616
"4","""吴忠市红寺堡区人民法院""",106.06201904454,37.4480419907234
"5","""天水市秦州区人民法院""",105.723490008019,34.5870990223907
"6","""广安市广安区人民法院""",106.643834006395,30.4895808928778
"7","""广安市广安区人民法院""",106.643834006395,30.4895808928778
"8","""金华市婺城区人民法院""",119.656746985316,29.0855130134181
"9","""甘肃省天水市秦州区人民法院""",105.723490008019,34.5870990223907
"10","""天水市秦州区人民法院""",105.723490008019,34.5870990223907
"11","""徐州市铜山区人民法院""",117.175265795064,34.188767861708
"12","""侯马市人民法院""",111.401040980355,35.6297658750477
"13","""湖南省岳阳市君山区人民法院""",113.036489958747,29.4410439840452
"14","""北京市西城区人民法院""",116.373906763182,39.9520284308329
"15","""北京市西城区人民法院""",116.373906763182,39.9520284308329
"16","""西安市未央区人民法院""",108.956092600953,34.3040036411152
"17","""北京市朝阳区人民法院""",116.464355977184,39.8470450811882
"18","""北京市朝阳区人民法院""",116.464355977184,39.8470450811882
"19","""北京市朝阳区人民法院""",116.464355977184,39.8470450811882
"20","""湖北省孝昌县人民法院""",114.00240797448,31.2597579019794
"21","""上海市浦东新区人民法院""",121.550907891792,31.2311820411696
"22","""乐清市人民法院""",120.984077816588,28.11772217459
"23","""北京市朝阳区人民法院""",116.464355977184,39.8470450811882
"24","""山东省乳山市人民法院""",121.563057024662,36.9280709638974
"25","""北京市顺义区人民法院""",116.674508173274,40.1363823413839
"26","""北京市顺义区人民法院""",116.674508173274,40.1363823413839
"27","""北京市怀柔区人民法院""",116.635703890499,40.3493763657951
"28","""汉滨区人民法院""",109.022644013812,32.7070151434406
"29","""北京市怀柔区人民法院""",116.635703890499,40.3493763657951
"30","""台州市黄岩区人民法院""",121.283612039635,28.6606280129209
"31","""湖北省当阳市人民法院""",111.808196964617,30.8444458631795
"32","""北京市昌平区人民法院""",116.428160014287,40.1257180893554
"33","""北京市昌平区人民法院""",116.428160014287,40.1257180893554
"34","""贵州省习水县人民法院""",106.204892996612,28.3367279924142
"35","""西安市高陵区人民法院""",109.092983042024,34.5419019667509
"36","""江苏省高邮市人民法院""",119.490091028125,32.7863292234
"37","""北京市石景山区人民法院""",116.19974212311,39.9314822617289
"38","""吉林省敦化市人民法院""",128.248259026534,43.3610550630427
"39","""北京市西城区人民法院""",116.373906763182,39.9520284308329
"40","""北京市石景山区人民法院""",116.19974212311,39.9314822617289
"41","""天水市秦州区人民法院""",105.723490008019,34.5870990223907
"42","""山东省莒县人民法院""",118.863159031353,35.6022888686037
"43","""北京市丰台区人民法院""",116.294535991711,39.8690950485263
"44","""北京市丰台区人民法院""",116.294535991711,39.8690950485263
"45","""温州市龙湾区人民法院""",120.755378666031,27.9808146047445
"46","""德化县人民法院""",118.23192503335,25.4907256228712
"47","""大石桥市人民法院""",122.512913862433,40.6411572826381
"48","""云南省昆明市官渡区人民法院""",102.769493983391,25.0038029984965
"49","""重庆市高级人民法院""",106.53104697632,29.5985470455134
"50","""白银市平川区人民法院""",104.816934729729,36.7367642404234
"51","""江苏省扬州市广陵区人民法院""",119.466541230536,32.4137202981763
"52","""壤塘县人民法院""",100.98806101386,32.2634410677094
"53","""苍南县人民法院""",120.446572043681,27.520282952329
"54","""包头市九原区人民法院""",109.97707996392,40.6179340238202
"55","""山东省博兴县人民法院""",118.131458291767,37.154576857188
"56","""陕西省岚皋县人民法院""",108.903616018485,32.3307790807992
"57","""西安市未央区人民法院""",108.956092600953,34.3040036411152
"58","""西安市未央区人民法院""",108.956092600953,34.3040036411152
"59","""长沙市开福区人民法院""",112.993919350473,28.25831863033
"60","""苍南县人民法院""",120.446572043681,27.520282952329
"61","""东港市人民法院""",124.157767035974,39.866770094689
"62","""河北省平乡县人民法院""",115.024963958529,37.0621179509146
"63","""郸城县人民法院""",115.178460026105,33.642817061835
"64","""北京市西城区人民法院""",116.373906763182,39.9520284308329
"65","""重庆市巴南区人民法院""",106.548581001563,29.4076970273004
"66","""辽宁省喀喇沁左翼蒙古族自治县人民法院""",119.74626161888,41.1324675700988
"67","""湖南省株洲市中级人民法院""",113.179530019631,27.8465649771506
"68","""河南省临颍县人民法院""",113.955864969397,33.821203043617
"69","""云南省南涧彝族自治县人民法院""",100.517250012902,25.0378050098253
"70","""淮南市潘集区人民法院""",116.838606042479,32.7785850816202
"71","""安徽省安庆市大观区人民法院""",117.020097980934,30.5642419306427
"72","""山东省郯城县人民法院""",118.381554989816,34.6182119608296
"73","""郸城县人民法院""",115.178460026105,33.642817061835
"74","""黑龙江省大庆市让胡路区人民法院""",124.862834983755,46.6236435320002
"75","""山东省蓬莱市人民法院""",120.783823976134,37.8162690412739
"76","""眉山市彭山区人民法院""",103.879858982754,30.2095170787018
"77","""辽宁省喀喇沁左翼蒙古族自治县人民法院""",119.74626161888,41.1324675700988
"78","""青海省门源回族自治县人民法院""",101.62843803903,37.3821806263135
"79","""上海市虹口区人民法院""",121.469406519314,31.2824786422979
"80","""江西省瑞金市人民法院""",116.015779020615,25.8804330320671
"81","""江西省吉水县人民法院""",115.140458903163,27.2368800625623
"82","""湖北省保康县人民法院""",111.277854998314,31.8554089775758
"83","""山东省博兴县人民法院""",118.131458291767,37.154576857188
"84","""山东省费县人民法院""",118.013060996738,35.2678838898176
"85","""大石桥市人民法院""",122.512913862433,40.6411572826381
"86","""陕西省扶风县人民法院""",107.910778406131,34.3816537987485
"87","""河南省项城市人民法院""",114.907983021798,33.4463110867764
"88","""河北省保定市徐水区人民法院""",115.660940813819,39.0276770756808
"89","""辽宁省开原市人民法院""",124.060980007107,42.5833579128024
"90","""荥阳市人民法院""",113.436918008488,34.788837274354
"91","""河北省承德县人民法院""",118.181857991895,40.7853179511078
"92","""安徽省巢湖市人民法院""",117.892516032895,31.6068989688404
"93","""郑州高新技术产业开发区人民法院""",113.75453000121,34.7742877484147
"94","""固原市原州区人民法院""",106.260704999609,36.0330828556552
"95","""重庆市万州区人民法院""",108.373590974366,30.8463958267492
"96","""成都市锦江区人民法院""",104.107070988615,30.6344788876697
"97","""北京市西城区人民法院""",116.373906763182,39.9520284308329
"98","""北京市西城区人民法院""",116.373906763182,39.9520284308329
"99","""成都市郫都区人民法院""",103.909387722156,30.8030985679071
"100","""云南省华坪县人民法院""",101.277541031873,26.6323480097838
"101","""江苏省南京市栖霞区人民法院""",118.902763794169,32.1342286945105
"102","""互助土族自治县人民法院""",101.962966022809,36.8264838929426
"103","""云南省凤庆县人民法院""",99.9393680124217,24.5849879833433
"104","""湖北省荆门市东宝区人民法院""",112.207117014471,31.0492018460716
"105","""重庆市巫溪县人民法院""",109.579015011081,31.4030578762749
"106","""云南省富源县人民法院""",104.275625968735,25.7029230221633
"107","""银川市兴庆区人民法院""",106.26644705826,38.4946831683967
"108","""北京市怀柔区人民法院""",116.635703890499,40.3493763657951
"109","""徐州市铜山区人民法院""",117.175265795064,34.188767861708
"110","""湖南省耒阳市人民法院""",112.812345935768,26.4138884700207
"111","""湖南省茶陵县人民法院""",113.534878928403,26.7796278380204
"112","""富顺县人民法院""",104.986563993173,29.1864020677557
"113","""大田县人民法院""",117.852136016406,25.6986319762589
"114","""贵州省贵阳市南明区人民法院""",106.783691987357,26.549690949299
"115","""北京市石景山区人民法院""",116.19974212311,39.9314822617289
"116","""北京市西城区人民法院""",116.373906763182,39.9520284308329
"117","""重庆市巴南区人民法院""",106.548581001563,29.4076970273004
"118","""北京市朝阳区人民法院""",116.464355977184,39.8470450811882
"119","""北京市顺义区人民法院""",116.674508173274,40.1363823413839
"120","""四川省绵阳市安州区人民法院""",104.573582958601,31.5361599429207
"121","""德化县人民法院""",118.23192503335,25.4907256228712
"122","""北京市西城区人民法院""",116.373906763182,39.9520284308329
"123","""贵州省毕节市七星关区人民法院""",105.313551959717,27.299006997447
"124","""江苏省南京市栖霞区人民法院""",118.902763794169,32.1342286945105
"125","""江苏省南京市栖霞区人民法院""",118.902763794169,32.1342286945105
"126","""四川省壤塘县人民法院""",100.98806101386,32.2634410677094
"127","""山西省晋中市榆次区人民法院""",112.753121386493,37.7088921346829
"128","""北京市西城区人民法院""",116.373906763182,39.9520284308329
"129","""山东省济宁市任城区人民法院""",116.572814959034,35.4252638890599
"130","""汉滨区人民法院""",109.022644013812,32.7070151434406
"131","""湖南省永州市冷水滩区人民法院""",111.599849989326,26.4684349748947
"132","""安徽省临泉县人民法院""",115.275226034623,33.0521080856198
"133","""云南省凤庆县人民法院""",99.9393680124217,24.5849879833433
"134","""南京市鼓楼区人民法院""",118.746645842301,32.0892607134966
